기준연도,지역,상태,학교,재학생수(A),총 실수,수용가능인원(B),유학생_학위과정,유학생_비학위과정
2025.0,경북,기존,가야대학교(고령)_제2캠퍼스,0.0,0.0,0.0,0,0
2025.0,경남,기존,가야대학교(김해),1623.0,80.0,483.0,0,2
2025.0,경남,기존,가야대학교(김해),1623.0,88.0,483.0,0,0
2025.0,경기,기존,가천대학교,24161.0,40.0,3015.0,1,0
2025.0,경기,기존,가천대학교,24161.0,98.0,3015.0,0,0
2025.0,경기,기존,가천대학교,24161.0,140.0,3015.0,0,0
2025.0,경기,기존,가천대학교,24161.0,393.0,3015.0,0,0
2025.0,경기,기존,가천대학교,24161.0,184.0,3015.0,97,230
2025.0,경기,기존,가천대학교,24161.0,44.0,3015.0,0,0
2025.0,경기,기존,가천대학교,24161.0,252.0,3015.0,0,0
2025.0,강원,기존,가톨릭관동대학교,5294.0,57.0,2267.0,0,41
2025.0,강원,기존,가톨릭관동대학교,5294.0,76.0,2267.0,0,0
2025.0,강원,기존,가톨릭관동대학교,5294.0,166.0,2267.0,0,0
2025.0,강원,기존,가톨릭관동대학교,5294.0,111.0,2267.0,0,52
2025.0,강원,기존,가톨릭관동대학교,5294.0,108.0,2267.0,0,0
2025.0,강원,기존,가톨릭관동대학교,5294.0,221.0,2267.0,0,0
2025.0,강원,기존,가톨릭관동대학교,5294.0,29.0,2267.0,0,0
2025.0,충북,기존,가톨릭꽃동네대학교,444.0,39.0,193.0,0,0
2025.0,충북,기존,가톨릭꽃동네대학교,444.0,63.0,193.0,2,0
2025.0,경기,기존,가톨릭대학교,8612.0,88.0,1842.0,97,0
2025.0,경기,기존,가톨릭대학교,8612.0,54.0,1842.0,0,0
2025.0,경기,기존,가톨릭대학교,8612.0,238.0,1842.0,159,0
2025.0,경기,기존,가톨릭대학교,8612.0,386.0,1842.0,311,47
2025.0,서울,기존,가톨릭대학교_제2캠퍼스,1522.0,41.0,121.0,0,0
2025.0,서울,기존,가톨릭대학교_제3캠퍼스,269.0,60.0,306.0,0,0
2025.0,서울,기존,가톨릭대학교_제3캠퍼스,269.0,60.0,306.0,0,0
2025.0,서울,기존,가톨릭대학교_제3캠퍼스,269.0,4.0,306.0,0,0
2025.0,서울,기존,가톨릭대학교_제3캠퍼스,269.0,150.0,306.0,0,0
2025.0,서울,기존,감리교신학대학교,1207.0,140.0,280.0,2,0
2025.0,경기,기존,강남대학교,6661.0,118.0,940.0,33,0
2025.0,경기,기존,강남대학교,6661.0,234.0,940.0,0,0
2025.0,서울,기존,강서대학교,1856.0,50.0,208.0,0,0
2025.0,서울,기존,강서대학교,1856.0,12.0,208.0,0,0
2025.0,서울,기존,강서대학교,1856.0,30.0,208.0,0,0
2025.0,강원,기존,강원대학교,16565.0,82.0,4388.0,89,32
2025.0,강원,기존,강원대학교,16565.0,65.0,4388.0,0,0
2025.0,강원,기존,강원대학교,16565.0,61.0,4388.0,0,0
2025.0,강원,기존,강원대학교,16565.0,110.0,4388.0,73,5
2025.0,강원,기존,강원대학교,16565.0,952.0,4388.0,1,0
2025.0,강원,기존,강원대학교,16565.0,100.0,4388.0,116,5
2025.0,강원,기존,강원대학교,16565.0,52.0,4388.0,0,0
2025.0,강원,기존,강원대학교,16565.0,95.0,4388.0,0,0
2025.0,강원,기존,강원대학교,16565.0,67.0,4388.0,64,23
2025.0,강원,기존,강원대학교,16565.0,505.0,4388.0,2,0
2025.0,강원,기존,강원대학교_제2캠퍼스,5095.0,320.0,2472.0,11,0
2025.0,강원,기존,강원대학교_제2캠퍼스,5095.0,55.0,2472.0,23,3
2025.0,강원,기존,강원대학교_제2캠퍼스,5095.0,158.0,2472.0,15,11
2025.0,강원,기존,강원대학교_제2캠퍼스,5095.0,150.0,2472.0,0,0
2025.0,강원,기존,강원대학교_제2캠퍼스,5095.0,96.0,2472.0,0,0
2025.0,강원,기존,강원대학교_제2캠퍼스,5095.0,124.0,2472.0,0,0
2025.0,충북,기존,건국대학교(글로컬)_분교,7574.0,339.0,2286.0,52,0
2025.0,충북,기존,건국대학교(글로컬)_분교,7574.0,411.0,2286.0,49,0
2025.0,서울,기존,건국대학교,18215.0,507.0,3113.0,28,80
2025.0,서울,기존,건국대학교,18215.0,1134.0,3113.0,380,19
2025.0,서울,기존,건국대학교,18215.0,38.0,3113.0,0,0
2025.0,충남,기존,건양대학교,2515.0,157.0,1259.0,74,113
2025.0,충남,기존,건양대학교,2515.0,134.0,1259.0,0,0
2025.0,충남,기존,건양대학교,2515.0,124.0,1259.0,0,0
2025.0,충남,기존,건양대학교,2515.0,22.0,1259.0,0,0
2025.0,충남,기존,건양대학교,2515.0,65.0,1259.0,0,0
2025.0,충남,기존,건양대학교,2515.0,107.0,1259.0,0,0
2025.0,대전,기존,건양대학교_제2캠퍼스,4137.0,228.0,1336.0,18,0
2025.0,대전,기존,건양대학교_제2캠퍼스,4137.0,186.0,1336.0,10,0
2025.0,대전,기존,건양대학교_제2캠퍼스,4137.0,200.0,1336.0,0,0
2025.0,경기,기존,경기대학교,12462.0,66.0,2223.0,0,75
2025.0,경기,기존,경기대학교,12462.0,1058.0,2223.0,29,51
2025.0,서울,기존,경기대학교_제2캠퍼스,2333.0,6.0,12.0,0,0
2025.0,서울,기존,경기대학교_제2캠퍼스,2333.0,0.0,0.0,0,0
2025.0,경남,기존,경남대학교,8825.0,18.0,1599.0,33,2
2025.0,경남,기존,경남대학교,8825.0,252.0,1599.0,106,4
2025.0,경남,기존,경남대학교,8825.0,117.0,1599.0,0,0
2025.0,경남,기존,경남대학교,8825.0,322.0,1599.0,110,13
2025.0,경남,기존,경남대학교,8825.0,11.0,1599.0,0,0
2025.0,경남,기존,경남대학교,8825.0,19.0,1599.0,0,0
2025.0,강원,기존,경동대학교,1164.0,199.0,740.0,173,56
2025.0,강원,기존,경동대학교,1164.0,171.0,740.0,113,3
2025.0,강원,기존,경동대학교_제2캠퍼스,0.0,0.0,0.0,0,0
2025.0,강원,기존,경동대학교_제3캠퍼스,3566.0,250.0,1016.0,0,0
2025.0,강원,기존,경동대학교_제3캠퍼스,3566.0,261.0,1016.0,1,0
2025.0,경기,기존,경동대학교_제4캠퍼스,2443.0,250.0,497.0,2,156
2025.0,대구,기존,경북대학교,26010.0,100.0,6169.0,0,0
2025.0,대구,기존,경북대학교,26010.0,400.0,6169.0,26,0
2025.0,대구,기존,경북대학교,26010.0,604.0,6169.0,31,0
2025.0,대구,기존,경북대학교,26010.0,680.0,6169.0,218,0
2025.0,대구,기존,경북대학교,26010.0,96.0,6169.0,31,0
2025.0,대구,기존,경북대학교,26010.0,358.0,6169.0,0,0
2025.0,대구,기존,경북대학교,26010.0,212.0,6169.0,15,0
2025.0,대구,기존,경북대학교,26010.0,27.0,6169.0,0,0
2025.0,대구,기존,경북대학교,26010.0,99.0,6169.0,4,0
2025.0,대구,기존,경북대학교,26010.0,159.0,6169.0,3,0
2025.0,대구,기존,경북대학교,26010.0,80.0,6169.0,0,8
2025.0,대구,기존,경북대학교,26010.0,162.0,6169.0,16,40
2025.0,대구,기존,경북대학교,26010.0,126.0,6169.0,0,0
2025.0,경남,기존,경상국립대학교,19367.0,56.0,5265.0,8,0
2025.0,경남,기존,경상국립대학교,19367.0,52.0,5265.0,5,0
2025.0,경남,기존,경상국립대학교,19367.0,62.0,5265.0,8,0
2025.0,경남,기존,경상국립대학교,19367.0,197.0,5265.0,24,0
2025.0,경남,기존,경상국립대학교,19367.0,365.0,5265.0,42,0
2025.0,경남,기존,경상국립대학교,19367.0,147.0,5265.0,19,0
2025.0,경남,기존,경상국립대학교,19367.0,61.0,5265.0,8,0
2025.0,경남,기존,경상국립대학교,19367.0,365.0,5265.0,18,0
2025.0,경남,기존,경상국립대학교,19367.0,262.0,5265.0,22,53
2025.0,경남,기존,경상국립대학교,19367.0,119.0,5265.0,1,0
2025.0,경남,기존,경상국립대학교,19367.0,207.0,5265.0,4,0
2025.0,경남,기존,경상국립대학교,19367.0,110.0,5265.0,0,0
2025.0,경남,기존,경상국립대학교,19367.0,195.0,5265.0,0,0
2025.0,경남,기존,경상국립대학교,19367.0,61.0,5265.0,0,0
2025.0,경남,기존,경상국립대학교,19367.0,92.0,5265.0,4,0
2025.0,경남,기존,경상국립대학교,19367.0,57.0,5265.0,2,0
2025.0,경남,기존,경상국립대학교,19367.0,36.0,5265.0,0,0
2025.0,경남,기존,경상국립대학교,19367.0,217.0,5265.0,23,0
2025.0,경남,기존,경상국립대학교,19367.0,46.0,5265.0,0,0
2025.0,부산,기존,경성대학교,13144.0,1.0,1470.0,0,0
2025.0,부산,기존,경성대학교,13144.0,1.0,1470.0,0,0
2025.0,부산,기존,경성대학교,13144.0,1.0,1470.0,0,0
2025.0,부산,기존,경성대학교,13144.0,404.0,1470.0,52,94
2025.0,부산,기존,경성대학교,13144.0,312.0,1470.0,0,0
2025.0,부산,기존,경성대학교,13144.0,1.0,1470.0,0,0
2025.0,부산,기존,경성대학교,13144.0,1.0,1470.0,0,0
2025.0,경북,기존,경운대학교,5388.0,49.0,1719.0,86,0
2025.0,경북,기존,경운대학교,5388.0,151.0,1719.0,119,0
2025.0,경북,기존,경운대학교,5388.0,111.0,1719.0,76,0
2025.0,경북,기존,경운대학교,5388.0,15.0,1719.0,0,0
2025.0,경북,기존,경운대학교,5388.0,19.0,1719.0,45,0
2025.0,경북,기존,경운대학교,5388.0,80.0,1719.0,124,0
2025.0,경북,기존,경운대학교,5388.0,15.0,1719.0,0,0
2025.0,경북,기존,경운대학교,5388.0,15.0,1719.0,0,0
2025.0,경북,기존,경운대학교,5388.0,83.0,1719.0,67,0
2025.0,경북,기존,경운대학교,5388.0,15.0,1719.0,0,0
2025.0,경북,기존,경운대학교,5388.0,70.0,1719.0,0,0
2025.0,경북,기존,경운대학교,5388.0,4.0,1719.0,0,0
2025.0,경북,기존,경운대학교,5388.0,54.0,1719.0,32,33
2025.0,경북,기존,경운대학교,5388.0,15.0,1719.0,0,0
2025.0,인천,기존,경인교육대학교,1259.0,94.0,492.0,0,0
2025.0,인천,기존,경인교육대학교,1259.0,71.0,492.0,0,0
2025.0,인천,기존,경인교육대학교,1259.0,95.0,492.0,0,0
2025.0,경기,기존,경인교육대학교_제2캠퍼스,1139.0,200.0,712.0,0,0
2025.0,경기,기존,경인교육대학교_제2캠퍼스,1139.0,52.0,712.0,0,0
2025.0,경북,기존,경일대학교,7300.0,52.0,1726.0,1,0
2025.0,경북,기존,경일대학교,7300.0,121.0,1726.0,54,337
2025.0,경북,기존,경일대학교,7300.0,188.0,1726.0,30,0
2025.0,경북,기존,경일대학교,7300.0,266.0,1726.0,0,0
2025.0,경북,기존,경일대학교,7300.0,50.0,1726.0,0,0
2025.0,서울,기존,경희대학교,28963.0,464.0,4946.0,0,0
2025.0,서울,기존,경희대학교,28963.0,216.0,4946.0,306,0
2025.0,서울,기존,경희대학교,28963.0,33.0,4946.0,0,0
2025.0,서울,기존,경희대학교,28963.0,589.0,4946.0,568,6
2025.0,서울,기존,경희대학교,28963.0,1196.0,4946.0,0,0
2025.0,서울,기존,경희대학교,28963.0,41.0,4946.0,0,0
2025.0,대구,기존,계명대학교,21849.0,55.0,2932.0,0,0
2025.0,대구,기존,계명대학교,21849.0,89.0,2932.0,16,68
2025.0,대구,기존,계명대학교,21849.0,269.0,2932.0,46,0
2025.0,대구,기존,계명대학교,21849.0,186.0,2932.0,23,41
2025.0,대구,기존,계명대학교,21849.0,89.0,2932.0,60,69
2025.0,대구,기존,계명대학교,21849.0,4.0,2932.0,0,0
2025.0,대구,기존,계명대학교,21849.0,232.0,2932.0,32,118
2025.0,대구,기존,계명대학교,21849.0,97.0,2932.0,89,68
2025.0,대구,기존,계명대학교,21849.0,233.0,2932.0,23,167
2025.0,대구,기존,계명대학교,21849.0,167.0,2932.0,13,14
2025.0,세종,기존,고려대학교(세종)_분교,7319.0,191.0,2608.0,6,0
2025.0,세종,기존,고려대학교(세종)_분교,7319.0,306.0,2608.0,41,0
