기준연도,학교,"수업료
(B)","등록금
(D=B)",인문사회,자연과학,예체능,공학,의학
2026.0,가야대학교(김해) ,7446294.0,7446294.0,6478040.9,7740000.0,0.0,0.0,0.0
2026.0,가천대학교 ,9094425.6,9094425.6,7871353.6,9125927.5,9856019.0,9817461.9,10651428.6
2026.0,가톨릭관동대학교 ,7725838.9,7725838.9,6731562.9,8463848.6,8702722.6,8735187.5,11066000.0
2026.0,가톨릭꽃동네대학교 ,7468777.8,7468777.8,6618000.0,7796000.0,0.0,0.0,0.0
2026.0,가톨릭대학교 ,7725223.0,7725223.0,6619374.4,7955226.1,9254000.0,8797801.4,0.0
2026.0,가톨릭대학교 _제2캠퍼스,9999517.1,9999517.1,0.0,9146355.7,0.0,0.0,11160000.0
2026.0,가톨릭대학교 _제3캠퍼스,6630000.0,6630000.0,6630000.0,0.0,0.0,0.0,0.0
2026.0,감리교신학대학교 ,6941350.0,6941350.0,6941350.0,0.0,0.0,0.0,0.0
2026.0,강남대학교 ,8206173.1,8206173.1,7478673.2,0.0,9502764.5,9356010.5,0.0
2026.0,강서대학교 ,7933023.5,7933023.5,7288641.1,8980000.0,8855000.0,0.0,0.0
2026.0,강원대학교 ,4236211.1,4236211.1,3442287.8,4410889.6,4568860.0,4422610.9,8598989.9
2026.0,강원대학교 _제2캠퍼스,4191079.7,4191079.7,3529546.3,4197850.4,4568963.7,4329065.6,0.0
2026.0,강원대학교 _제3캠퍼스,4252250.3,4252250.3,3488000.0,4320540.7,5051417.0,4616000.0,7966000.0
2026.0,강원대학교 _제4캠퍼스,4259854.0,4259854.0,3488000.0,4298000.0,0.0,4616000.0,0.0
2026.0,건국대학교 ,8985986.4,8985986.4,7302582.0,8872626.9,9862270.0,9917198.4,11018000.0
2026.0,건국대학교(글로컬) _분교,8838628.7,8838628.7,7351752.0,8849870.5,9800738.8,9754018.1,12136000.0
2026.0,건양대학교 ,6810819.3,6810819.3,6251626.9,7486353.2,7064000.0,7606000.0,0.0
2026.0,건양대학교 _제2캠퍼스,7864692.8,7864692.8,6008000.0,7850721.0,0.0,7766260.4,10856000.0
2026.0,건양사이버대학교 ,2537763.9,2537763.9,2537763.9,0.0,0.0,0.0,0.0
2026.0,경기대학교 ,8028841.1,8028841.1,7003518.8,8275862.4,8673745.1,8905794.9,0.0
2026.0,경기대학교 _제2캠퍼스,7800638.0,7800638.0,7020600.8,0.0,9037942.9,7844961.5,0.0
2026.0,경남대학교 ,7060677.8,7060677.8,6151242.4,7193856.2,7932240.1,8071553.7,0.0
2026.0,경동대학교 ,6782000.0,6782000.0,6782000.0,0.0,0.0,0.0,0.0
