기준연도,지역,학교,유학생_전체계,전공_인문사회계열,전공_자연과학계열,전공_공학계열,전공_예체능계열,전공_의학계열,언어능력_합계(E),TOPIK_4급이상_충족,영어능력_충족,영어권_국적학생,언어능력_충족비율(%)
2025.0,경기,가천대학교,4996,3020,49,346,201,0,1377,1212,165,0,38.1
2025.0,강원,가톨릭관동대학교,157,23,4,3,0,2,12,12,0,0,37.5
2025.0,충북,가톨릭꽃동네대학교,2,2,0,0,0,0,2,2,0,0,100.0
2025.0,경기,가톨릭대학교,1665,597,113,126,54,0,164,164,0,0,18.4
2025.0,서울,가톨릭대학교_제3캠퍼스,9,9,0,0,0,0,3,3,0,0,33.3
2025.0,서울,감리교신학대학교,3,3,0,0,0,0,1,1,0,0,33.3
2025.0,경기,강남대학교,485,238,0,0,61,0,18,2,16,0,6.0
2025.0,서울,강서대학교,706,665,0,0,1,0,561,4,552,5,84.2
2025.0,강원,강원대학교,1015,671,18,23,19,0,385,78,306,1,52.7
2025.0,강원,강원대학교_제2캠퍼스,99,25,16,14,14,0,23,23,0,0,33.3
2025.0,충북,건국대학교(글로컬)_분교,218,94,9,17,84,0,11,11,0,0,5.4
2025.0,서울,건국대학교,2228,945,31,220,219,0,752,752,0,0,53.1
2025.0,충남,건양대학교,430,69,11,12,0,0,74,30,44,0,80.4
2025.0,대전,건양대학교_제2캠퍼스,42,0,19,23,0,0,24,24,0,0,57.1
2025.0,대전,건양사이버대학교,13,12,1,0,0,0,0,0,0,0,0.0
2025.0,경기,경기대학교,812,328,3,18,12,0,134,133,1,0,37.1
2025.0,서울,경기대학교_제2캠퍼스,294,265,0,0,29,0,140,140,0,0,47.6
2025.0,경남,경남대학교,407,201,21,89,30,0,20,20,0,0,5.9
2025.0,강원,경동대학교,1169,769,0,305,0,0,1044,7,938,99,97.2
2025.0,강원,경동대학교_제3캠퍼스,2,0,2,0,0,0,1,1,0,0,50.0
2025.0,경기,경동대학교_제4캠퍼스,392,25,2,0,2,0,3,3,0,0,10.3
2025.0,대구,경북대학교,1660,399,95,129,9,0,441,441,0,0,69.8
2025.0,경남,경상국립대학교,335,67,8,15,0,0,48,48,0,0,53.3
2025.0,부산,경성대학교,1966,1469,4,301,14,0,1624,48,1571,5,90.8
2025.0,경북,경운대학교,909,220,436,49,23,0,130,4,126,0,17.9
2025.0,인천,경인교육대학교,6,0,0,0,0,0,0,0,0,0,0.0
2025.0,경북,경일대학교,946,428,1,78,36,0,152,61,91,0,28.0
2025.0,서울,경희대학교,3535,1846,55,138,447,0,1495,1286,197,12,60.1
2025.0,서울,경희사이버대학교,229,148,10,69,2,0,0,0,0,0,0.0
2025.0,대구,계명대학교,3044,1045,25,203,133,0,630,584,46,0,44.8
2025.0,세종,고려대학교(세종)_분교,596,315,72,82,19,0,9,9,0,0,1.8
2025.0,서울,고려대학교,4471,2217,125,559,28,0,2640,2136,421,83,90.1
2025.0,서울,고려사이버대학교,172,130,0,42,0,0,0,0,0,0,0.0
2025.0,부산,고신대학교,79,37,4,0,3,0,24,24,0,0,54.5
2025.0,광주,광신대학교,115,38,0,0,1,0,6,6,0,0,15.4
2025.0,서울,광운대학교,1009,602,2,113,2,0,453,434,19,0,63.0
2025.0,전남,광주가톨릭대학교,1,1,0,0,0,0,0,0,0,0,0.0
2025.0,광주,광주과학기술원,69,0,18,27,0,0,36,0,35,1,80.0
2025.0,광주,광주대학교,692,232,1,20,10,0,77,77,0,0,29.3
2025.0,광주,광주여자대학교,533,398,44,0,5,0,215,116,99,0,48.1
2025.0,강원,국립강릉원주대학교,299,117,5,6,11,0,82,82,0,0,59.0
2025.0,강원,국립강릉원주대학교_제2캠퍼스,8,0,1,7,0,0,4,4,0,0,50.0
2025.0,경북,국립경국대학교,73,14,0,5,6,0,10,10,0,0,40.0
2025.0,충남,국립공주대학교,307,67,32,20,13,0,44,38,6,0,33.3
2025.0,전북,국립군산대학교,422,162,9,49,90,0,51,51,0,0,16.5
2025.0,경북,국립금오공과대학교,30,7,0,14,0,0,6,6,0,0,28.6
2025.0,전남,국립목포대학교,71,41,0,5,1,0,19,19,0,0,40.4
2025.0,전남,국립목포해양대학교,154,0,0,9,0,0,1,1,0,0,11.1
2025.0,부산,국립부경대학교,1115,614,37,31,11,0,410,410,0,0,59.2
2025.0,전남,국립순천대학교,261,97,23,27,10,0,65,65,0,0,41.4
2025.0,경남,국립창원대학교,277,119,3,4,2,0,71,71,0,0,55.5
2025.0,충북,국립한국교통대학교,113,25,2,6,2,0,12,12,0,0,34.3
2025.0,부산,국립한국해양대학교,241,10,4,76,0,0,78,7,71,0,86.7
2025.0,대전,국립한밭대학교,305,50,0,15,9,0,38,38,0,0,51.4
2025.0,서울,국민대학교,1533,785,37,176,132,0,534,507,26,1,47.3
2025.0,경기,국제사이버대학교,9,8,0,0,1,0,0,0,0,0,0.0
2025.0,충북,극동대학교,806,620,4,144,4,0,669,9,615,45,86.7
2025.0,충남,글로벌사이버대학교,168,17,0,147,4,0,0,0,0,0,0.0
2025.0,경북,김천대학교,466,167,26,35,0,0,36,36,0,0,15.8
2025.0,충남,나사렛대학교,413,116,7,0,15,0,35,26,7,2,25.4
2025.0,광주,남부대학교,231,66,5,13,2,0,23,23,0,0,26.7
2025.0,충남,남서울대학교,1544,657,37,34,14,0,176,133,43,0,23.7
2025.0,경기,단국대학교,956,329,0,30,354,0,225,183,41,1,31.6
2025.0,충남,단국대학교_제2캠퍼스,147,30,18,0,48,0,39,39,0,0,40.6
2025.0,경북,대구가톨릭대학교,1178,323,390,94,95,0,68,30,38,0,7.5
2025.0,대구,대구경북과학기술원,15,0,15,0,0,0,14,0,13,1,93.3
2025.0,대구,대구교육대학교,2,0,0,0,0,0,0,0,0,0,0.0
2025.0,경북,대구대학교,1660,1175,19,159,93,0,194,194,0,0,13.4
2025.0,경북,대구사이버대학교,31,15,9,7,0,0,0,0,0,0,0.0
2025.0,경북,대구예술대학교,227,82,0,0,14,0,71,1,70,0,74.0
2025.0,경북,대구한의대학교,1637,1098,171,24,4,0,222,158,64,0,17.1
2025.0,경북,대신대학교,950,577,0,0,274,0,83,17,66,0,9.8
2025.0,세종,대전가톨릭대학교,1,1,0,0,0,0,1,1,0,0,100.0
2025.0,대전,대전대학교,356,195,32,23,4,1,70,70,0,0,27.5
2025.0,경기,대진대학교,1104,1001,4,16,55,0,485,30,455,0,45.1
2025.0,서울,덕성여자대학교,571,140,2,10,5,0,97,97,0,0,61.8
2025.0,경북,동국대학교(WISE)_분교,420,269,5,11,81,9,22,22,0,0,5.9
2025.0,서울,동국대학교,2691,902,7,66,205,0,679,679,0,0,57.5
