기준연도,지역,학교,유학생_전체계,전공_인문사회계열,전공_자연과학계열,전공_공학계열,전공_예체능계열,전공_의학계열,언어능력_합계(E),TOPIK_4급이상_충족,영어능력_충족,영어권_국적학생,언어능력_충족비율(%),유학생수_원본,언어비율_원본,유학생수_점수_70,언어능력_점수_30,외국인학생_점수
2025.0,경기,가천대학교,4996,3020,49,346,201,0,1377,1212,165,0,38.1,4996.0,38.1,70.0,11.43,81.43
2025.0,강원,가톨릭관동대학교,157,23,4,3,0,2,12,12,0,0,37.5,157.0,37.5,2.1997598078462772,11.25,13.449759807846277
2025.0,충북,가톨릭꽃동네대학교,2,2,0,0,0,0,2,2,0,0,100.0,2.0,100.0,0.028022417934347475,30.0,30.02802241793435
2025.0,경기,가톨릭대학교,1665,597,113,126,54,0,164,164,0,0,18.4,1665.0,18.4,23.328662930344276,5.52,28.848662930344275
2025.0,서울,가톨릭대학교_제3캠퍼스,9,9,0,0,0,0,3,3,0,0,33.3,9.0,33.3,0.12610088070456366,9.989999999999998,10.116100880704563
2025.0,서울,감리교신학대학교,3,3,0,0,0,0,1,1,0,0,33.3,3.0,33.3,0.042033626901521216,9.989999999999998,10.03203362690152
2025.0,경기,강남대학교,485,238,0,0,61,0,18,2,16,0,6.0,485.0,6.0,6.795436349079263,1.7999999999999998,8.595436349079263
2025.0,서울,강서대학교,706,665,0,0,1,0,561,4,552,5,84.2,706.0,84.2,9.89191353082466,25.26,35.15191353082466
2025.0,강원,강원대학교,1015,671,18,23,19,0,385,78,306,1,52.7,1015.0,52.7,14.221377101681345,15.81,30.031377101681343
2025.0,강원,강원대학교_제2캠퍼스,99,25,16,14,14,0,23,23,0,0,33.3,99.0,33.3,1.3871096877502003,9.989999999999998,11.377109687750199
2025.0,충북,건국대학교(글로컬)_분교,218,94,9,17,84,0,11,11,0,0,5.4,218.0,5.4,3.0544435548438753,1.62,4.674443554843876
2025.0,서울,건국대학교,2228,945,31,220,219,0,752,752,0,0,53.1,2228.0,53.1,31.21697357886309,15.930000000000001,47.14697357886309
2025.0,충남,건양대학교,430,69,11,12,0,0,74,30,44,0,80.4,430.0,80.4,6.024819855884708,24.12,30.14481985588471
2025.0,대전,건양대학교_제2캠퍼스,42,0,19,23,0,0,24,24,0,0,57.1,42.0,57.1,0.588470776621297,17.130000000000003,17.7184707766213
2025.0,대전,건양사이버대학교,13,12,1,0,0,0,0,0,0,0,0.0,13.0,0.0,0.18214571657325862,0.0,0.18214571657325862
