학교명(가나다순),장학금(가나다순), ,학교명(금액높은순),장학금(금액높은순)
가야대학교(김해),4194323.9,,태재대학교,27158463.6
가천대학교,3715314.3,,한국에너지공과대학교,16833122.4
가톨릭관동대학교,4367692.3,,인천가톨릭대학교,8996345.0
가톨릭꽃동네대학교,5111042.0,,금강대학교,8267165.2
가톨릭대학교,3530438.5,,수원가톨릭대학교,7940884.4
가톨릭대학교_제2캠퍼스,3957854.0,,포항공과대학교,7823776.1
가톨릭대학교_제3캠퍼스,5957574.0,,한국침례신학대학교,7523936.3
감리교신학대학교,5182411.3,,울산과학기술원,7370091.1
강남대학교,3645505.2,,한국과학기술원,7275048.8
강서대학교,3356599.4,,대전신학대학교,7230902.0
강원대학교,3010391.0,,경동대학교,7076342.1
강원대학교_제2캠퍼스,3650832.8,,광주과학기술원,6860449.0
건국대학교,3605901.7,,부산장신대학교,6076442.8
건국대학교(글로컬)_분교,4326840.8,,중원대학교,6064052.3
건양대학교,4619025.9,,서울장신대학교,6028971.6
건양대학교_제2캠퍼스,4106459.6,,가톨릭대학교_제3캠퍼스,5957574.0
건양사이버대학교,2632380.4,,호남신학대학교,5832070.1
경기대학교,3984639.3,,아신대학교,5802986.0
경기대학교_제2캠퍼스,3462183.4,,영남신학대학교,5782826.8
경남과학기술대학교,2952829.6,,서울신학대학교,5660500.1
경남대학교,4001530.2,,유원대학교,5591779.2
경동대학교,7076342.1,,루터대학교,5387126.3
경동대학교_제3캠퍼스,4298497.6,,김천대학교,5381103.1
경동대학교_제4캠퍼스,3803425.2,,청운대학교,5293106.3
경북대학교,3106796.0,,대신대학교,5285498.4
경상국립대학교,3249618.3,,한일장신대학교,5272170.4
경성대학교,3515930.3,,신경주대학교,5250592.8
경운대학교,5191755.2,,경운대학교,5191755.2
경인교육대학교,2410891.8,,감리교신학대학교,5182411.3
경인교육대학교_제2캠퍼스,2514279.9,,광신대학교,5156540.8
경일대학교,4693208.6,,가톨릭꽃동네대학교,5111042.0
경희대학교,3487989.6,,신한대학교,5029864.8
경희사이버대학교,1705183.0,,창신대학교,4982737.3
계명대학교,4291930.0,,대구한의대학교,4941611.5
고려대학교,3663136.6,,송원대학교,4918337.2
고려대학교(세종)_분교,3968998.2,,광주여자대학교,4915027.3
고려사이버대학교,1153852.3,,초당대학교,4890641.3
고신대학교,4193417.4,,대구가톨릭대학교,4852780.9
공주교육대학교,2450583.6,,목포가톨릭대학교,4845945.1
광신대학교,5156540.8,,홍익대학교_제2캠퍼스,4809185.7
광운대학교,3508178.2,,세한대학교,4799415.6
광주가톨릭대학교,0.0,,장로회신학대학교,4780224.2
광주과학기술원,6860449.0,,위덕대학교,4779570.4
광주교육대학교,4473380.8,,광주대학교,4770899.3
광주대학교,4770899.3,,한국성서대학교,4770689.5
광주여자대학교,4915027.3,,총신대학교,4752585.9
국립강릉원주대학교,3523096.9,,나사렛대학교,4726358.2
국립강릉원주대학교_제2캠퍼스,3640645.7,,세명대학교,4715944.4
국립경국대학교,4396874.1,,동명대학교,4704989.9
국립공주대학교,2870810.8,,한동대학교,4693361.8
국립군산대학교,3206940.1,,경일대학교,4693208.6
국립금오공과대학교,3308385.3,,중앙대학교_제2캠퍼스,4670472.3
국립목포대학교,3944312.5,,차의과학대학교,4669786.6
국립목포해양대학교,2540217.2,,동신대학교,4668918.6
국립부경대학교,3128168.7,,순복음총회신학교,4661623.9
국립순천대학교,3057082.6,,호원대학교,4637523.4
국립창원대학교,3195467.0,,부산가톨릭대학교,4632665.9
국립한국교통대학교,3337252.0,,인제대학교,4625362.7
국립한국해양대학교,3038652.8,,영산대학교(양산)_제2캠퍼스,4625349.9
국립한밭대학교,3125179.1,,건양대학교,4619025.9
국민대학교,4033820.8,,을지대학교_제3캠퍼스,4565244.9
국제사이버대학교,2394278.7,,전주대학교,4561376.6
극동대학교,3861175.6,,성공회대학교,4554540.8
글로벌사이버대학교,2035962.5,,대구대학교,4550988.5
금강대학교,8267165.2,,안양대학교_제2캠퍼스,4547949.7
김천대학교,5381103.1,,광주교육대학교,4473380.8
나사렛대학교,4726358.2,,목원대학교,4459097.8
남부대학교,4228289.9,,선문대학교,4457819.9
남서울대학교,4230683.3,,영남대학교,4444533.6
단국대학교,3490510.9,,동서대학교,4442657.2
단국대학교_제2캠퍼스,3825756.2,,동국대학교(WISE)_분교,4429826.4
대구가톨릭대학교,4852780.9,,우송대학교,4415549.6
대구경북과학기술원,2960325.2,,국립경국대학교,4396874.1
대구교육대학교,2342687.1,,서원대학교,4386823.6
대구대학교,4550988.5,,가톨릭관동대학교,4367692.3
대구사이버대학교,1622448.7,,신라대학교,4333413.1
대구예술대학교,4286527.4,,건국대학교(글로컬)_분교,4326840.8
대구한의대학교,4941611.5,,한서대학교,4326408.8
대신대학교,5285498.4,,신한대학교_제2캠퍼스,4320883.2
대전가톨릭대학교,3940606.1,,한세대학교,4313203.0
대전대학교,4311817.6,,한양대학교(ERICA)_분교,4313001.1
대전신학대학교,7230902.0,,대전대학교,4311817.6
대진대학교,4008325.3,,삼육대학교,4309590.1
덕성여자대학교,3308009.2,,을지대학교_제2캠퍼스,4300242.4
동국대학교,3741313.8,,경동대학교_제3캠퍼스,4298497.6
동국대학교(WISE)_분교,4429826.4,,계명대학교,4291930.0
동덕여자대학교,3590625.8,,대구예술대학교,4286527.4
동명대학교,4704989.9,,중부대학교,4270661.0
동서대학교,4442657.2,,중앙승가대학교,4264273.3
동신대학교,4668918.6,,남서울대학교,4230683.3
동아대학교,3851443.9,,남부대학교,4228289.9
동양대학교,4093979.7,,평택대학교,4225281.6
동의대학교,4219168.9,,동의대학교,4219168.9
디지털서울문화예술대학교,2209875.7,,한남대학교,4213063.1
루터대학교,5387126.3,,가야대학교(김해),4194323.9
명지대학교,3877981.4,,고신대학교,4193417.4
명지대학교_제2캠퍼스,3620720.2,,호남대학교,4189360.4
목원대학교,4459097.8,,용인대학교,4185718.6
목포가톨릭대학교,4845945.1,,홍익대학교,4181701.7
배재대학교,4089591.8,,우석대학교,4180852.7
백석대학교,4085945.6,,상명대학교_제2캠퍼스,4170829.4
부산가톨릭대학교,4632665.9,,서울한영대학교,4159639.0
부산교육대학교,2624489.9,,한라대학교,4139470.4
부산대학교,3294321.2,,원광대학교,4138304.9
부산디지털대학교,2340224.7,,건양대학교_제2캠퍼스,4106459.6
부산외국어대학교,3759043.1,,동양대학교,4093979.7
부산장신대학교,6076442.8,,배재대학교,4089591.8
사이버한국외국어대학교,1566852.5,,백석대학교,4085945.6
삼육대학교,4309590.1,,순천향대학교,4068684.7
상명대학교,3861995.2,,호서대학교,4067580.5
상명대학교_제2캠퍼스,4170829.4,,예수대학교,4041265.7
상지대학교,3609197.3,,영산대학교(해운대),4036902.6
서강대학교,3291122.7,,국민대학교,4033820.8
서경대학교,3695549.6,,안양대학교,4024950.2
서울과학기술대학교,3212119.2,,대진대학교,4008325.3
서울교육대학교,2068897.2,,한림대학교,4007636.0
서울기독대학교,2475775.2,,경남대학교,4001530.2
서울대학교,3499102.1,,조선대학교,3994019.5
서울디지털대학교,1623643.2,,경기대학교,3984639.3
서울사이버대학교,1794770.3,,수원대학교,3983743.5
서울시립대학교,2385871.0,,고려대학교(세종)_분교,3968998.2
서울신학대학교,5660500.1,,가톨릭대학교_제2캠퍼스,3957854.0
서울여자대학교,3722437.7,,인천가톨릭대학교_제2캠퍼스,3944810.7
서울장신대학교,6028971.6,,국립목포대학교,3944312.5
서울한영대학교,4159639.0,,대전가톨릭대학교,3940606.1
서원대학교,4386823.6,,청주대학교,3919349.9
선문대학교,4457819.9,,한성대학교,3908892.6
성결대학교,3661061.7,,성신여자대학교,3904314.4
성공회대학교,4554540.8,,한국기술교육대학교,3899819.3
성균관대학교,3576937.6,,연세대학교(미래)_분교,3898391.6
성신여자대학교,3904314.4,,한국항공대학교,3891982.4
세명대학교,4715944.4,,명지대학교,3877981.4
세종대학교,3353520.4,,상명대학교,3861995.2
세종사이버대학교,2004964.3,,극동대학교,3861175.6
세한대학교,4799415.6,,동아대학교,3851443.9
송원대학교,4918337.2,,단국대학교_제2캠퍼스,3825756.2
수원가톨릭대학교,7940884.4,,경동대학교_제4캠퍼스,3803425.2
수원대학교,3983743.5,,연세대학교,3795230.6
숙명여자대학교,3758180.2,,한양대학교,3792281.1
순복음총회신학교,4661623.9,,한국공학대학교,3764097.5
순천향대학교,4068684.7,,부산외국어대학교,3759043.1
숭실대학교,3381844.6,,숙명여자대학교,3758180.2
숭실사이버대학교,1963409.2,,이화여자대학교,3754247.1
신경주대학교,5250592.8,,동국대학교,3741313.8
신라대학교,4333413.1,,서울여자대학교,3722437.7
신한대학교,5029864.8,,가천대학교,3715314.3
신한대학교_제2캠퍼스,4320883.2,,인하대학교,3706824.7
아신대학교,5802986.0,,서경대학교,3695549.6
아주대학교,3689585.4,,아주대학교,3689585.4
안양대학교,4024950.2,,협성대학교,3683617.2
안양대학교_제2캠퍼스,4547949.7,,고려대학교,3663136.6
연세대학교,3795230.6,,성결대학교,3661061.7
연세대학교(미래)_분교,3898391.6,,강원대학교_제2캠퍼스,3650832.8
영남대학교,4444533.6,,강남대학교,3645505.2
영남신학대학교,5782826.8,,국립강릉원주대학교_제2캠퍼스,3640645.7
영산대학교(양산)_제2캠퍼스,4625349.9,,추계예술대학교,3624006.4
영산대학교(해운대),4036902.6,,명지대학교_제2캠퍼스,3620720.2
영산선학대학교,3526736.8,,상지대학교,3609197.3
예수대학교,4041265.7,,건국대학교,3605901.7
예원예술대학교,2904421.1,,동덕여자대학교,3590625.8
예원예술대학교_제2캠퍼스,3098433.3,,한국전통문화대학교,3584136.6
용인대학교,4185718.6,,성균관대학교,3576937.6
우석대학교,4180852.7,,울산대학교,3544129.7
우송대학교,4415549.6,,가톨릭대학교,3530438.5
울산과학기술원,7370091.1,,영산선학대학교,3526736.8
울산대학교,3544129.7,,국립강릉원주대학교,3523096.9
원광대학교,4138304.9,,경성대학교,3515930.3
원광디지털대학교,1960064.2,,광운대학교,3508178.2
위덕대학교,4779570.4,,서울대학교,3499102.1
유원대학교,5591779.2,,단국대학교,3490510.9
을지대학교,2041922.2,,경희대학교,3487989.6
을지대학교_제2캠퍼스,4300242.4,,경기대학교_제2캠퍼스,3462183.4
을지대학교_제3캠퍼스,4565244.9,,중앙대학교,3401875.5
이화여자대학교,3754247.1,,인천대학교,3399046.1
인제대학교,4625362.7,,숭실대학교,3381844.6
인천가톨릭대학교,8996345.0,,강서대학교,3356599.4
인천가톨릭대학교_제2캠퍼스,3944810.7,,세종대학교,3353520.4
인천대학교,3399046.1,,국립한국교통대학교,3337252.0
인하대학교,3706824.7,,전남대학교,3314028.3
