학교명(가나다순),취업률(가나다순), ,학교명(수치 높은순),취업률(수치 높은순)
가야대학교(김해),72.7,,가톨릭대학교_제2캠퍼스,92.6
가천대학교,72.5,,국립목포해양대학교,84.4
가톨릭관동대학교,69.5,,가톨릭대학교_제3캠퍼스,84.1
가톨릭꽃동네대학교,80.0,,경동대학교_제3캠퍼스,83.9
가톨릭대학교,69.5,,예수대학교,83.9
가톨릭대학교_제2캠퍼스,92.6,,경동대학교,82.1
가톨릭대학교_제3캠퍼스,84.1,,을지대학교_제3캠퍼스,81.4
감리교신학대학교,35.0,,건양대학교_제2캠퍼스,81.1
강남대학교,68.6,,한국기술교육대학교,80.3
강서대학교,67.7,,가톨릭꽃동네대학교,80.0
강원대학교,63.1,,목포가톨릭대학교,79.5
강원대학교_제2캠퍼스,68.4,,송원대학교,78.5
건국대학교,73.4,,화성의과학대학교,78.2
건국대학교(글로컬)_분교,68.7,,을지대학교,78.2
건양대학교,78.0,,건양대학교,78.0
건양대학교_제2캠퍼스,81.1,,김천대학교,77.8
건양사이버대학교,0.0,,을지대학교_제2캠퍼스,77.7
경기대학교,71.2,,경동대학교_제4캠퍼스,77.3
경기대학교_제2캠퍼스,70.1,,광주교육대학교,77.2
경남대학교,65.8,,한국공학대학교,76.6
경동대학교,82.1,,한국항공대학교,76.6
경동대학교_제3캠퍼스,83.9,,차의과학대학교,76.6
경동대학교_제4캠퍼스,77.3,,초당대학교,76.6
경북대학교,63.4,,성균관대학교,76.5
경상국립대학교,62.1,,인천가톨릭대학교_제2캠퍼스,75.8
경성대학교,67.5,,아주대학교,75.4
경운대학교,75.2,,우송대학교,75.4
경인교육대학교,73.3,,경운대학교,75.2
경인교육대학교_제2캠퍼스,73.3,,서울교육대학교,75.0
경일대학교,71.7,,세한대학교,75.0
경희대학교,71.7,,중원대학교,75.0
경희사이버대학교,0.0,,남부대학교,74.9
계명대학교,65.6,,한라대학교,74.6
고려대학교,72.1,,청운대학교,74.5
고려대학교(세종)_분교,69.8,,부산가톨릭대학교,74.4
고려사이버대학교,0.0,,대구한의대학교,74.3
고신대학교,69.4,,창신대학교,73.9
공주교육대학교,73.1,,서강대학교,73.9
광신대학교,61.7,,극동대학교,73.8
광운대학교,72.9,,호원대학교,73.7
광주가톨릭대학교,0.0,,신한대학교_제2캠퍼스,73.6
광주과학기술원,0.0,,국립금오공과대학교,73.5
광주교육대학교,77.2,,건국대학교,73.4
광주대학교,69.6,,경인교육대학교_제2캠퍼스,73.3
광주여자대학교,71.2,,경인교육대학교,73.3
국립강릉원주대학교,63.1,,청주교육대학교,73.1
국립강릉원주대학교_제2캠퍼스,67.6,,대구교육대학교,73.1
국립경국대학교,68.8,,춘천교육대학교,73.1
국립공주대학교,62.0,,진주교육대학교,73.1
국립군산대학교,62.3,,부산교육대학교,73.1
국립금오공과대학교,73.5,,공주교육대학교,73.1
국립목포대학교,62.1,,전주교육대학교,73.1
국립목포해양대학교,84.4,,국립한국해양대학교,73.1
국립부경대학교,65.4,,영산대학교(양산)_제2캠퍼스,73.0
국립순천대학교,63.0,,광운대학교,72.9
국립창원대학교,61.9,,신한대학교,72.9
국립한국교통대학교,67.1,,홍익대학교_제2캠퍼스,72.8
국립한국해양대학교,73.1,,호남대학교,72.8
국립한밭대학교,70.5,,가야대학교(김해),72.7
국민대학교,70.7,,가천대학교,72.5
국제사이버대학교,0.0,,한양대학교,72.5
극동대학교,73.8,,한서대학교,72.4
글로벌사이버대학교,0.0,,중앙대학교,72.4
금강대학교,59.3,,한양대학교(ERICA)_분교,72.4
김천대학교,77.8,,상명대학교,72.3
나사렛대학교,70.0,,인하대학교,72.2
남부대학교,74.9,,삼육대학교,72.2
남서울대학교,68.4,,고려대학교,72.1
단국대학교,69.6,,선문대학교,72.1
단국대학교_제2캠퍼스,69.7,,안양대학교_제2캠퍼스,72.0
대구가톨릭대학교,63.5,,한성대학교,71.9
대구경북과학기술원,0.0,,서울시립대학교,71.9
대구교육대학교,73.1,,한국성서대학교,71.8
대구대학교,64.4,,한세대학교,71.8
대구사이버대학교,0.0,,경일대학교,71.7
대구예술대학교,55.9,,경희대학교,71.7
대구한의대학교,74.3,,세종대학교,71.6
대신대학교,60.5,,한림대학교,71.4
대전가톨릭대학교,0.0,,동국대학교,71.4
대전대학교,71.4,,연세대학교,71.4
대전신학대학교,35.0,,대전대학교,71.4
대진대학교,67.3,,유원대학교,71.3
덕성여자대학교,65.9,,홍익대학교,71.3
동국대학교,71.4,,영산대학교(해운대),71.3
동국대학교(WISE)_분교,69.3,,숭실대학교,71.2
동덕여자대학교,68.2,,서울과학기술대학교,71.2
동명대학교,69.5,,경기대학교,71.2
동서대학교,67.2,,광주여자대학교,71.2
동신대학교,69.0,,서울신학대학교,71.1
동아대학교,66.5,,서울대학교,71.1
동양대학교,67.3,,서경대학교,71.0
동의대학교,66.4,,연세대학교(미래)_분교,71.0
디지털서울문화예술대학교,0.0,,한국외국어대학교,71.0
루터대학교,64.7,,우석대학교,70.8
명지대학교,68.7,,상명대학교_제2캠퍼스,70.8
명지대학교_제2캠퍼스,70.5,,중앙대학교_제2캠퍼스,70.8
목원대학교,65.6,,국민대학교,70.7
목포가톨릭대학교,79.5,,호서대학교,70.6
배재대학교,66.5,,순천향대학교,70.6
백석대학교,69.4,,국립한밭대학교,70.5
부산가톨릭대학교,74.4,,명지대학교_제2캠퍼스,70.5
부산교육대학교,73.1,,예원예술대학교,70.4
부산대학교,64.5,,경기대학교_제2캠퍼스,70.1
부산디지털대학교,0.0,,세명대학교,70.1
부산외국어대학교,63.5,,나사렛대학교,70.0
부산장신대학교,52.2,,수원대학교,69.9
사이버한국외국어대학교,0.0,,고려대학교(세종)_분교,69.8
삼육대학교,72.2,,단국대학교_제2캠퍼스,69.7
상명대학교,72.3,,단국대학교,69.6
상명대학교_제2캠퍼스,70.8,,서원대학교,69.6
상지대학교,66.4,,광주대학교,69.6
서강대학교,73.9,,가톨릭관동대학교,69.5
서경대학교,71.0,,동명대학교,69.5
서울과학기술대학교,71.2,,위덕대학교,69.5
서울교육대학교,75.0,,전주대학교,69.5
서울기독대학교,59.3,,가톨릭대학교,69.5
서울대학교,71.1,,고신대학교,69.4
서울디지털대학교,0.0,,청주대학교,69.4
서울사이버대학교,0.0,,백석대학교,69.4
